team_id;fifa_version;team_name;league_name;league_level;nationality_id;nationality_name;coach_id;home_stadium;international_prestige
1;15;Arsenal;Premier League;1;14;England;307;Emirates Stadium;18
2;15;Aston Villa;Premier League;1;14;England;50;Villa Park;15
3;15;Blackburn Rovers;Championship;2;14;England;23174;Ivy Lane;13
4;15;Bolton Wanderers;League One;2;14;England;491;Sanderson Park (FIFA 13 NEW generic);12
5;15;Chelsea;Premier League;1;14;England;452683;Stamford Bridge;20
7;15;Everton;Premier League;1;14;England;95;Goodison Park;16
8;15;Leeds United;Championship;2;14;England;524552;Eastpoint Arena (Football Ground);12
9;15;Liverpool;Premier League;1;14;England;455353;Anfield;18
10;15;Manchester City;Premier League;1;14;England;455361;Etihad Stadium;19
11;15;Manchester United;Premier League;1;14;England;456113;Old Trafford;20
12;15;Middlesbrough;Championship;2;14;England;37664674;Molton Road (Sheldon Stadium);10
13;15;Newcastle United;Premier League;1;14;England;523911;St. James' Park;16
14;15;Nottingham Forest;Premier League;2;14;England;37250724;Forest Park Stadium (Square Ground);9
15;15;Queens Park Rangers;Championship;1;14;England;37633958;Kiyan Prince Foundation;14
17;15;Southampton;Championship;1;14;England;524297;St. Mary's Stadium;13
18;15;Tottenham Hotspur;Premier League;1;14;England;455384;White Hart Lane;17
19;15;West Ham United;Premier League;1;14;England;455355;Boleyn Ground (Upton Park);14
21;15;FC Bayern München;Bundesliga;1;21;Germany;458813;Allianz Arena;20
22;15;Borussia Dortmund;Bundesliga;1;21;Germany;417317;Signal Iduna Park;18
23;15;Borussia Mönchengladbach;Bundesliga;1;21;Germany;460535;Waldstadion (Fussballstadion);14
25;15;SC Freiburg;Bundesliga;1;21;Germany;460197;Ivy Lane;11
28;15;Hamburger SV;2. Bundesliga;1;21;Germany;1552477;Volksparkstadion;15
29;15;Kaiserslautern;2. Bundesliga;2;21;Germany;896509;Stadion Europa (Generic Europe 2);10
31;15;FC Köln;Bundesliga;1;21;Germany;29676;Waldstadion (Fussballstadion);12
32;15;Bayer 04 Leverkusen;Bundesliga;1;21;Germany;511;Waldstadion (Fussballstadion);16
33;15;1860 München;3. Liga;2;21;Germany;456450;Allianz Arena;10
34;15;Schalke 04;2. Bundesliga;1;21;Germany;37336957;Veltins-Arena;16
36;15;VfB Stuttgart;Bundesliga;1;21;Germany;45305;Stadion Olympik;14
38;15;Werder Bremen;Bundesliga;1;21;Germany;20693423;Waldstadion (Fussballstadion);13
39;15;Atalanta;Serie A;1;27;Italy;456038;Stadio Classico;13
44;15;Inter;Serie A;1;27;Italy;128160;San Siro;18
45;15;Juventus;Serie A;1;27;Italy;455957;Juventus Arena;19
46;15;Lazio;Serie A;1;27;Italy;455926;Stadio Olimpico;17
47;15;Milan;Serie A;1;27;Italy;459100;San Siro;18
48;15;Napoli;Serie A;1;27;Italy;523897;Stadion Olympik;17
50;15;Parma;Serie B;1;27;Italy;130528;Arena d'Oro;13
52;15;Roma;Serie A;1;27;Italy;455375;Stadio Olimpico;17
54;15;Torino;Serie A;1;27;Italy;127980;Stadio Classico;11
55;15;Udinese;Serie A;1;27;Italy;1553200;Estadio de las Artes (Generic Stadium NG);15
57;15;Auxerre;Ligue 2;2;18;France;524286;Forest Park Stadium (Square Ground);12
58;15;Bastia;Ligue 2;1;18;France;1677031;Town Park;11
59;15;Bordeaux;Ligue 2;1;18;France;529830;Stadio Classico;14
62;15;Guingamp;Ligue 2;1;18;France;94341;Court Lane;10
64;15;Lens;Ligue 1;1;18;France;896608;Ivy Lane;12
65;15;Lille;Ligue 1;1;18;France;455945;Waldstadion (Fussballstadion);15
66;15;Olympique Lyonnais;Ligue 1;1;18;France;37438919;Stade Gerland;16
68;15;Metz;Ligue 1;1;18;France;2158433;Ivy Lane;9
69;15;Monaco;Ligue 1;1;18;France;2158189;Euro Arena;15
70;15;Montpellier;Ligue 1;1;18;France;464744;Forest Park Stadium (Square Ground);13
71;15;Nantes;Ligue 1;1;18;France;459054;Estadio de las Artes (Generic Stadium NG);12
72;15;Nice;Ligue 1;1;18;France;455672;Waldstadion (Fussballstadion);12
73;15;Paris Saint Germain;Ligue 1;1;18;France;524011;Parc des Princes;18
74;15;Rennes;Ligue 1;1;18;France;523953;Stade Municipal;13
77;15;Aberdeen;Premiership;1;42;Scotland;1621;Ivy Lane;7
78;15;Celtic;Premiership;1;42;Scotland;896805;Eastpoint Arena (Football Ground);11
82;15;Kilmarnock;Premiership;1;42;Scotland;896462;Court Lane;5
83;15;Motherwell;Premiership;1;42;Scotland;171878;Ivy Lane;6
86;15;Rangers;Premiership;2;42;Scotland;23237;Eastpoint Arena (Football Ground);8
88;15;Birmingham City;Championship;2;14;England;2146;Ivy Lane;9
89;15;Charlton Athletic;League One;2;14;England;37386304;Ivy Lane;7
91;15;Derby County;League One;2;14;England;3311;Molton Road (Sheldon Stadium);9
